platform_number,cycle_number,time,latitude,longitude,pres,temp,temp_qc,temp_adjusted,temp_adjusted_qc,psal,psal_qc,psal_adjusted,psal_adjusted_qc,data_mode,position_qc
,,UTC,degrees_north,degrees_east,decibar,degree_Celsius,,degree_Celsius,,PSU,,PSU,,,
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,2.2,30.579,1,30.579,1,34.454,1,34.464,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,4.0,30.582,1,30.582,1,34.454,1,34.464,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,6.0,30.583,1,30.583,1,34.454,1,34.464,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,8.0,30.583,1,30.583,1,34.454,1,34.464,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,10.0,30.583,1,30.583,1,34.454,1,34.464,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,12.0,30.582,1,30.582,1,34.454,1,34.464,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,14.0,30.583,1,30.583,1,34.454,1,34.464,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,16.0,30.582,1,30.582,1,34.454,1,34.464,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,18.0,30.583,1,30.583,1,34.454,1,34.464,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,20.0,30.584,1,30.584,1,34.454,1,34.464,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,22.0,30.584,1,30.584,1,34.454,1,34.464,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,24.0,30.583,1,30.583,1,34.454,1,34.464,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,26.0,30.584,1,30.584,1,34.454,1,34.464,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,28.0,30.585,1,30.585,1,34.454,1,34.464,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,30.0,30.585,1,30.585,1,34.454,1,34.464,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,32.0,30.584,1,30.584,1,34.454,1,34.464,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,34.0,30.568,1,30.568,1,34.455,1,34.465,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,36.0,30.552,1,30.552,1,34.454,1,34.465,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,38.1,30.509,1,30.509,1,34.455,1,34.466,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,40.0,30.471,1,30.471,1,34.456,1,34.467,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,42.0,30.422,1,30.422,1,34.458,1,34.471,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,44.0,30.326,1,30.326,1,34.465,1,34.482,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,46.0,30.118,1,30.118,1,34.497,1,34.513,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,48.0,29.938,1,29.938,1,34.539,1,34.552,1,D,1
1902457,32,2024-04-08T01:27:43Z,5.9409,66.221,50.0,29.846,1,29.846,1,34.555,1,34.569,1,D,1
