platform_number,cycle_number,time,latitude,longitude,pres,temp,temp_qc,temp_adjusted,temp_adjusted_qc,psal,psal_qc,psal_adjusted,psal_adjusted_qc,data_mode,position_qc
,,UTC,degrees_north,degrees_east,decibar,degree_Celsius,,degree_Celsius,,PSU,,PSU,,,
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,4.2,31.19,1,31.19,1,34.107,1,34.107,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,6.0,31.19,1,31.19,1,34.107,1,34.107,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,8.0,31.19,1,31.19,1,34.107,1,34.107,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,10.0,31.189,1,31.189,1,34.107,1,34.107,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,12.0,31.191,1,31.191,1,34.11,1,34.11,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,14.0,31.246,1,31.246,1,34.15,1,34.15,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,16.0,31.365,1,31.365,1,34.229,1,34.229,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,18.1,31.248,1,31.248,1,34.204,1,34.204,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,20.0,31.129,1,31.129,1,34.178,1,34.178,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,22.0,31.007,1,31.007,1,34.155,1,34.155,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,24.0,30.546,1,30.546,1,34.048,1,34.048,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,26.0,30.334,1,30.334,1,34.012,1,34.012,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,28.0,30.179,1,30.179,1,34.012,1,34.012,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,30.0,29.842,1,29.842,1,33.998,1,33.998,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,32.1,29.372,1,29.372,1,34.027,1,34.027,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,34.1,29.249,1,29.249,1,34.045,1,34.045,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,35.9,29.403,1,29.403,1,34.182,1,34.182,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,38.0,29.745,1,29.745,1,34.573,1,34.573,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,40.0,29.895,1,29.895,1,34.852,1,34.852,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,42.0,29.743,1,29.743,1,34.843,1,34.843,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,44.0,29.48,1,29.48,1,34.832,1,34.832,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,46.0,28.963,1,28.963,1,34.772,1,34.772,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,48.0,28.99,1,28.99,1,34.836,1,34.836,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,50.0,29.024,1,29.024,1,34.883,1,34.883,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,52.0,29.085,1,29.085,1,34.967,1,34.967,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,54.0,29.1,1,29.1,1,35.0,1,35.0,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,56.0,29.149,1,29.149,1,35.112,1,35.112,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,58.0,29.159,1,29.159,1,35.199,1,35.199,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,60.0,29.145,1,29.145,1,35.277,1,35.277,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,62.0,29.126,1,29.126,1,35.299,1,35.299,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,64.0,29.047,1,29.047,1,35.352,1,35.352,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,66.0,28.965,1,28.965,1,35.38,1,35.38,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,68.0,28.912,1,28.912,1,35.381,1,35.381,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,70.0,28.817,1,28.817,1,35.39,1,35.39,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,72.0,28.722,1,28.722,1,35.411,1,35.411,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,74.0,28.648,1,28.648,1,35.439,1,35.439,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,76.0,28.569,1,28.569,1,35.469,1,35.469,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,78.1,28.585,1,28.585,1,35.529,1,35.529,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,79.9,28.597,1,28.597,1,35.621,1,35.621,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,82.0,28.575,1,28.575,1,35.775,1,35.775,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,84.0,28.594,1,28.594,1,35.872,1,35.872,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,86.0,28.224,1,28.224,1,35.764,1,35.764,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,88.0,28.0,1,28.0,1,35.722,1,35.722,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,90.0,28.069,1,28.069,1,35.926,1,35.926,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,92.0,28.137,1,28.137,1,36.046,1,36.046,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,94.0,28.088,1,28.088,1,36.04,1,36.04,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,96.0,27.804,1,27.804,1,36.001,1,36.001,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,98.0,27.23,1,27.23,1,35.913,1,35.913,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,100.1,26.862,1,26.862,1,35.825,1,35.825,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,102.0,26.649,1,26.649,1,35.769,1,35.769,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,104.0,26.392,1,26.392,1,35.714,1,35.714,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,106.0,25.952,1,25.952,1,35.722,1,35.722,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,108.0,25.193,1,25.193,1,35.621,1,35.621,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,110.0,24.171,1,24.171,1,35.493,1,35.493,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,112.0,23.81,1,23.81,1,35.437,1,35.437,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,113.9,23.499,1,23.499,1,35.436,1,35.436,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,116.0,23.218,1,23.218,1,35.401,1,35.401,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,118.0,22.998,1,22.998,1,35.371,1,35.371,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,120.0,22.606,1,22.606,1,35.362,1,35.362,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,122.0,22.256,1,22.256,1,35.348,1,35.348,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,124.0,22.073,1,22.073,1,35.345,1,35.345,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,126.0,21.977,1,21.977,1,35.347,1,35.347,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,128.0,21.668,1,21.668,1,35.325,1,35.325,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,130.0,21.366,1,21.366,1,35.312,1,35.312,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,132.0,21.161,1,21.161,1,35.304,1,35.304,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,134.0,21.017,1,21.017,1,35.301,1,35.301,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,136.0,20.738,1,20.738,1,35.308,1,35.308,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,138.0,20.462,1,20.462,1,35.29,1,35.29,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,140.0,20.291,1,20.291,1,35.288,1,35.288,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,142.0,19.841,1,19.841,1,35.311,1,35.311,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,144.0,19.245,1,19.245,1,35.275,1,35.275,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,146.0,18.912,1,18.912,1,35.251,1,35.251,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,148.0,18.743,1,18.743,1,35.257,1,35.257,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,150.0,18.61,1,18.61,1,35.251,1,35.251,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,152.0,18.44,1,18.44,1,35.242,1,35.242,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,154.0,18.266,1,18.266,1,35.244,1,35.244,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,156.0,17.912,1,17.912,1,35.24,1,35.24,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,158.0,17.488,1,17.488,1,35.186,1,35.186,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,160.0,17.342,1,17.342,1,35.16,1,35.16,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,162.0,17.197,1,17.197,1,35.161,1,35.161,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,164.0,17.158,1,17.158,1,35.169,1,35.169,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,166.0,17.088,1,17.088,1,35.176,1,35.176,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,168.0,16.874,1,16.874,1,35.186,1,35.186,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,170.0,16.746,1,16.746,1,35.184,1,35.184,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,172.0,16.618,1,16.618,1,35.185,1,35.185,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,174.0,16.481,1,16.481,1,35.185,1,35.185,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,176.0,16.412,1,16.412,1,35.184,1,35.184,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,178.0,16.364,1,16.364,1,35.184,1,35.184,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,180.0,16.349,1,16.349,1,35.183,1,35.183,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,182.0,16.232,1,16.232,1,35.186,1,35.186,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,184.0,16.021,1,16.021,1,35.194,1,35.194,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,186.0,15.783,1,15.783,1,35.198,1,35.198,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,188.0,15.714,1,15.714,1,35.199,1,35.199,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,190.0,15.688,1,15.688,1,35.199,1,35.199,1,A,1
1902289,64,2026-05-02T02:59:21Z,6.6995,69.614,192.0,15.668,1,15.668,1,35.199,1,35.199,1,A,1
