platform_number,cycle_number,time,latitude,longitude,pres,temp,temp_qc,temp_adjusted,temp_adjusted_qc,psal,psal_qc,psal_adjusted,psal_adjusted_qc,data_mode,position_qc
,,UTC,degrees_north,degrees_east,decibar,degree_Celsius,,degree_Celsius,,PSU,,PSU,,,
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,4.1,28.236,1,28.236,1,35.292,1,35.292,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,6.0,28.234,1,28.234,1,35.292,1,35.292,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,8.0,28.235,1,28.235,1,35.292,1,35.292,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,10.0,28.236,1,28.236,1,35.292,1,35.292,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,12.0,28.237,1,28.237,1,35.292,1,35.292,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,14.0,28.24,1,28.24,1,35.292,1,35.292,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,16.0,28.238,1,28.238,1,35.291,1,35.291,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,18.0,28.238,1,28.238,1,35.291,1,35.291,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,20.0,28.236,1,28.236,1,35.291,1,35.291,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,22.1,28.226,1,28.226,1,35.29,1,35.29,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,24.0,28.232,1,28.232,1,35.29,1,35.29,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,26.0,28.231,1,28.231,1,35.291,1,35.291,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,28.0,28.23,1,28.23,1,35.29,1,35.29,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,30.0,28.222,1,28.222,1,35.29,1,35.29,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,32.0,28.202,1,28.202,1,35.289,1,35.289,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,34.0,28.19,1,28.19,1,35.288,1,35.288,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,36.0,28.169,1,28.169,1,35.287,1,35.287,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,38.0,28.136,1,28.136,1,35.287,1,35.287,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,40.0,28.031,1,28.031,1,35.287,1,35.287,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,42.0,27.695,1,27.695,1,35.303,1,35.303,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,44.0,27.558,1,27.558,1,35.3,1,35.3,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,46.0,27.436,1,27.436,1,35.308,1,35.308,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,48.0,27.311,1,27.311,1,35.31,1,35.31,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,50.0,27.238,1,27.238,1,35.311,1,35.311,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,52.0,27.189,1,27.189,1,35.312,1,35.312,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,54.0,27.137,1,27.137,1,35.312,1,35.312,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,56.0,27.054,1,27.054,1,35.316,1,35.316,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,58.0,26.984,1,26.984,1,35.318,1,35.318,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,60.0,26.966,1,26.966,1,35.319,1,35.319,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,62.0,26.942,1,26.942,1,35.319,1,35.319,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,64.0,26.892,1,26.892,1,35.322,1,35.322,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,66.0,26.865,1,26.865,1,35.324,1,35.324,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,68.0,26.856,1,26.856,1,35.326,1,35.326,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,70.0,26.857,1,26.857,1,35.332,1,35.332,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,72.0,26.835,1,26.835,1,35.344,1,35.344,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,74.0,26.801,1,26.801,1,35.356,1,35.356,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,76.0,26.765,1,26.765,1,35.366,1,35.366,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,78.0,26.74,1,26.74,1,35.372,1,35.372,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,80.0,26.718,1,26.718,1,35.375,1,35.375,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,82.0,26.682,1,26.682,1,35.384,1,35.384,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,84.0,26.627,1,26.627,1,35.389,1,35.389,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,86.0,26.6,1,26.6,1,35.398,1,35.398,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,88.0,26.573,1,26.573,1,35.405,1,35.405,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,90.0,26.553,1,26.553,1,35.404,1,35.404,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,92.0,26.537,1,26.537,1,35.412,1,35.412,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,94.0,26.509,1,26.509,1,35.417,1,35.417,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,96.0,26.49,1,26.49,1,35.42,1,35.42,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,98.0,26.469,1,26.469,1,35.423,1,35.423,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,100.0,26.442,1,26.442,1,35.449,1,35.449,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,102.0,26.406,1,26.406,1,35.481,1,35.481,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,104.0,26.406,1,26.406,1,35.498,1,35.498,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,106.0,26.386,1,26.386,1,35.522,1,35.522,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,108.1,26.336,1,26.336,1,35.528,1,35.528,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,110.0,26.209,1,26.209,1,35.52,1,35.52,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,111.9,25.789,1,25.789,1,35.52,1,35.52,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,114.0,25.586,1,25.586,1,35.563,1,35.563,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,116.0,25.502,1,25.502,1,35.562,1,35.562,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,118.0,25.365,1,25.365,1,35.583,1,35.583,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,120.0,25.135,1,25.135,1,35.609,1,35.609,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,122.0,24.971,1,24.971,1,35.619,1,35.619,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,124.2,24.815,1,24.815,1,35.629,1,35.629,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,125.8,24.591,1,24.591,1,35.639,1,35.639,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,128.0,24.231,1,24.231,1,35.64,1,35.64,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,130.0,23.848,1,23.848,1,35.651,1,35.651,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,132.0,23.436,1,23.436,1,35.662,1,35.662,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,134.2,22.187,1,22.187,1,35.63,1,35.63,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,135.5,21.028,1,21.028,1,35.57,1,35.57,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,137.9,20.455,1,20.455,1,35.622,1,35.622,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,140.0,20.243,1,20.243,1,35.664,1,35.664,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,142.0,20.109,1,20.109,1,35.661,1,35.661,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,144.0,19.831,1,19.831,1,35.637,1,35.637,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,146.0,19.469,1,19.469,1,35.602,1,35.602,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,148.0,19.437,1,19.437,1,35.594,1,35.594,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,150.0,19.138,1,19.138,1,35.598,1,35.598,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,152.0,18.845,1,18.845,1,35.597,1,35.597,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,154.0,18.703,1,18.703,1,35.602,1,35.602,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,156.0,18.547,1,18.547,1,35.591,1,35.591,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,158.0,18.057,1,18.057,1,35.538,1,35.538,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,160.0,17.451,1,17.451,1,35.456,1,35.456,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,162.0,17.305,1,17.305,1,35.476,1,35.476,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,164.0,17.212,1,17.212,1,35.491,1,35.491,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,166.0,17.159,1,17.159,1,35.527,1,35.527,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,168.0,16.893,1,16.893,1,35.535,1,35.535,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,170.0,16.719,1,16.719,1,35.52,1,35.52,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,172.0,16.579,1,16.579,1,35.517,1,35.517,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,174.0,16.531,1,16.531,1,35.508,1,35.508,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,176.0,16.472,1,16.472,1,35.494,1,35.494,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,178.0,16.338,1,16.338,1,35.476,1,35.476,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,180.0,16.037,1,16.037,1,35.425,1,35.425,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,182.0,15.821,1,15.821,1,35.386,1,35.386,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,184.0,15.634,1,15.634,1,35.341,1,35.341,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,186.0,15.542,1,15.542,1,35.328,1,35.328,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,188.0,15.464,1,15.464,1,35.336,1,35.336,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,190.0,15.382,1,15.382,1,35.338,1,35.338,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,192.0,15.286,1,15.286,1,35.348,1,35.348,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,194.0,15.222,1,15.222,1,35.361,1,35.361,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,196.0,15.199,1,15.199,1,35.362,1,35.362,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,198.0,15.154,1,15.154,1,35.359,1,35.359,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,200.0,14.979,1,14.979,1,35.34,1,35.34,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,202.0,14.884,1,14.884,1,35.349,1,35.349,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,204.0,14.692,1,14.692,1,35.333,1,35.333,1,A,1
1902190,250,2025-03-01T18:03:30Z,6.856,53.6164,206.0,14.581,1,14.581,1,35.317,1,35.317,1,A,1
